Log File,App Name,Third Party,Data Structure,Level
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Single Variable,E
com.gonoodle.gonoodle,goNoodle,N/A,Single Variable,E
com.gonoodle.gonoodle,goNoodle,N/A,URL,I
com.gonoodle.gonoodle,goNoodle,N/A,Single Variable,E
com.gonoodle.gonoodle,goNoodle,N/A,Single Variable,E
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,D
com.gonoodle.gonoodle,goNoodle,N/A,Equation,I
com.gonoodle.gonoodle,goNoodle,N/A,Array,I
com.gonoodle.gonoodle,goNoodle,N/A,Parameters,E
com.gonoodle.gonoodle,goNoodle,N/A,Single Variable,E
com.gonoodle.gonoodle,goNoodle,N/A,Equation,W
com.gonoodle.gonoodle,goNoodle,N/A,Single Variable,E
com.gonoodle.gonoodle,goNoodle,N/A,Single Variable,E
com.gonoodle.gonoodle,goNoodle,N/A,URL,I
com.gonoodle.gonoodle,goNoodle,N/A,URL,I
com.gonoodle.gonoodle,goNoodle,N/A,URL,I
com.gonoodle.gonoodle,goNoodle,N/A,URL,I
com.gonoodle.gonoodle,goNoodle,N/A,URL,I
com.gonoodle.gonoodle,goNoodle,N/A,URL,I
com.gonoodle.gonoodle,goNoodle,N/A,URL,I
com.gonoodle.gonoodle,goNoodle,N/A,URL,I
com.gonoodle.gonoodle,goNoodle,N/A,URL,I
com.gonoodle.gonoodle,goNoodle,N/A,URL,W
com.gonoodle.gonoodle,goNoodle,N/A,URL,I
com.gonoodle.gonoodle,goNoodle,N/A,URL,I
com.gonoodle.gonoodle,goNoodle,N/A,URL,I
com.gonoodle.gonoodle,goNoodle,N/A,URL,I
com.gonoodle.gonoodle,goNoodle,N/A,URL,I
com.gonoodle.gonoodle,goNoodle,N/A,URL,I
com.gonoodle.gonoodle,goNoodle,N/A,URL,I
com.gonoodle.gonoodle,goNoodle,N/A,URL,I
com.gonoodle.gonoodle,goNoodle,N/A,URL,W
com.gonoodle.gonoodle,goNoodle,N/A,URL,I
com.gonoodle.gonoodle,goNoodle,N/A,URL,I
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,W
com.gonoodle.gonoodle,goNoodle,N/A,Single Variable,D
com.gonoodle.gonoodle,goNoodle,N/A,Single Variable,D
com.gonoodle.gonoodle,goNoodle,N/A,Single Variable,D
com.gonoodle.gonoodle,goNoodle,N/A,Single Variable,D
com.gonoodle.gonoodle,goNoodle,N/A,Single Variable,D
